Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Specialization,What is your current occupation,Tags,Lead Profile,City,A free copy of Mastering The Interview,Last Notable Activity
Landing Page Submission,Direct Traffic,No,No,0,6.0,275,3.0,Email Opened,Operations Management,Unemployed,Lost to EINS,Not Specified,Mumbai,Yes,Email Opened
Landing Page Submission,Google,No,No,0,4.0,287,2.0,Email Opened,Marketing & Advertising,Unemployed,Ringing,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,547,2.0,Email Opened,Finance & Banking,Unemployed,Already a student,Potential Lead,Mumbai,Yes,Email Opened
API,Google,No,No,0,6.0,1225,6.0,Page Visited on Website,Supply Chain Management,Unemployed,Not doing further education,Other Leads,Thane & Outskirts,No,Modified
API,Chat,No,No,1,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Modified
Landing Page Submission,Google,No,No,0,5.0,160,5.0,Email Opened,Business Administration,Unemployed,Already a student,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Organic Search,No,No,0,6.0,394,2.0,Unreachable,E-Commerce,Unemployed,Ringing,Not Specified,Mumbai,Yes,Modified
API,Google,No,No,0,6.0,286,1.5,Olark Chat Conversation,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
API,Organic Search,No,No,0,7.0,96,2.33,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
API,Organic Search,No,No,0,2.0,12,2.0,Email Opened,Not Specified,Unemployed,switched off,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Referral,No,No,1,9.5,436,7.0,Form Submitted on Website,IT Projects Management,Unemployed,Busy,Potential Lead,Other Metro Cities,No,Modified
API,Referral,No,No,1,8.0,903,7.0,Page Visited on Website,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,No,Page Visited on Website
Landing Page Submission,Organic Search,No,No,0,9.5,409,7.0,Email Opened,Human Resource Management,Unemployed,Interested in other courses,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Referral,No,No,0,9.5,685,5.5,Email Opened,Other,Unemployed,Graduation in progress,Not Specified,Thane & Outskirts,Yes,Email Opened
API,Google,No,No,0,4.0,213,4.0,Form Submitted on Website,International Business,Unemployed,Interested in other courses,Other Leads,Mumbai,No,Modified
API,Chat,No,No,0,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Email Opened
API,Organic Search,No,No,1,7.0,1468,3.5,Page Visited on Website,Marketing & Advertising,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Modified
API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,1,4.0,1435,4.0,Email Opened,Operations Management,Working Professional,Will revert after reading the email,Potential Lead,Other Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,1,1.0,157,1.0,Converted to Lead,Hospitality & Tourism,Unemployed,Will revert after reading the email,Not Specified,Other Cities,No,Modified
API,Google,No,No,1,3.0,885,1.5,Other,Operations Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Other
API,Chat,No,No,1,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,No,Modified
API,Chat,No,No,0,0.0,0,0.0,Other,Finance & Banking,Unemployed,Interested in other courses,Other Leads,Not Specified,No,Modified
API,Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,1.0,1710,1.0,Converted to Lead,Retail Management,Unemployed,Already a student,Potential Lead,Thane & Outskirts,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,4.0,219,4.0,Email Opened,Business Administration,Unemployed,Ringing,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Referral,Yes,No,0,3.0,111,3.0,Email Bounced,International Business,Unemployed,Ringing,Not Specified,Other Metro Cities,Yes,Modified
API,Organic Search,No,No,0,6.0,224,6.0,Page Visited on Website,Not Specified,Unemployed,switched off,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,5.0,224,1.67,Page Visited on Website,Operations Management,Not Specified,Not Specified,Not Specified,Other Cities,Yes,Page Visited on Website
Landing Page Submission,Direct Traffic,No,No,1,2.0,1071,2.0,Email Opened,Marketing & Advertising,Unemployed,Lost to EINS,Not Specified,Other Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,1,6.0,595,3.0,Email Opened,"Banking, Investment And Insurance",Working Professional,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
Lead Add Form,Other,No,No,1,3.0,1096,2.0,Unknown,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
API,Referral,No,No,0,4.0,520,4.0,Email Opened,Operations Management,Unemployed,Lost to EINS,Not Specified,Mumbai,No,Email Opened
Lead Add Form,Referral,No,No,1,3.0,705,2.0,Unknown,Hospitality & Tourism,Working Professional,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Modified
API,Google,No,No,0,2.0,393,2.0,Email Opened,Not Specified,Unemployed,Ringing,Other Leads,Not Specified,No,Email Opened
Lead Add Form,Other,No,No,1,3.0,346,2.0,Unknown,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
API,Chat,No,No,1,0.0,0,0.0,Email Link Clicked,Operations Management,Working Professional,Will revert after reading the email,Potential Lead,Not Specified,No,Email Link Clicked
Landing Page Submission,Google,No,No,1,3.0,1136,3.0,Page Visited on Website,IT Projects Management,Unemployed,Will revert after reading the email,Not Specified,Mumbai,No,Modified
API,Referral,No,No,0,3.0,335,3.0,Email Opened,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Modified
API,Referral,No,No,0,4.0,75,4.0,Email Opened,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,6.0,97,3.0,Email Opened,Supply Chain Management,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Email Opened
Lead Add Form,Referral,No,No,1,3.0,1007,2.0,Unknown,Human Resource Management,Unemployed,Closed by Horizzon,Other Students,Mumbai,No,Modified
Landing Page Submission,Organic Search,No,No,0,2.0,1085,2.0,Converted to Lead,Other,Unemployed,Interested in other courses,Not Specified,Other Cities,Yes,Modified
API,Organic Search,No,No,0,3.0,214,3.0,Page Visited on Website,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
API,Chat,No,No,1,6.0,1158,1.5,Email Opened,Business Administration,Unemployed,Not Specified,Not Specified,Other Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,0,4.0,101,4.0,Email Opened,Finance & Banking,Not Specified,Not Specified,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,0,9.0,838,4.5,Email Opened,Healthcare Management,Not Specified,Not Specified,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,3.0,536,3.0,Unreachable,Finance & Banking,Unemployed,invalid number,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,4.0,161,2.0,Unreachable,Marketing & Advertising,Unemployed,Busy,Not Specified,Not Specified,No,Other
Landing Page Submission,Google,No,No,0,2.0,511,2.0,Form Submitted on Website,Healthcare Management,Unemployed,Not doing further education,Not Specified,Mumbai,No,Modified
API,Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,Not Specified,Unemployed,invalid number,Not Specified,Not Specified,No,Modified
API,Google,No,No,1,5.0,1110,5.0,Olark Chat Conversation,Human Resource Management,Working Professional,Will revert after reading the email,Potential Lead,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,1,5.0,1563,5.0,Email Opened,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Email Opened
API,Referral,No,No,0,7.0,1633,3.5,Converted to Lead,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Modified
API,Chat,No,No,1,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,0,9.5,809,4.0,Unreachable,Finance & Banking,Not Specified,Not Specified,Not Specified,Mumbai,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,638,2.0,Page Visited on Website,Healthcare Management,Unemployed,switched off,Not Specified,Mumbai,Yes,Modified
API,Google,No,No,1,5.0,1196,5.0,Page Visited on Website,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Organic Search,No,No,0,6.0,1485,6.0,Email Opened,Supply Chain Management,Unemployed,Ringing,Not Specified,Other Cities,Yes,Email Opened
API,Google,No,No,0,9.0,125,3.0,Page Visited on Website,Not Specified,Not Specified,Interested in other courses,Not Specified,Not Specified,No,Modified
API,Google,No,No,1,3.0,165,3.0,Olark Chat Conversation,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,0,6.0,398,3.0,Olark Chat Conversation,E-Commerce,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Olark Chat Conversation
API,Organic Search,No,No,0,3.0,570,3.0,Converted to Lead,Not Specified,Not Specified,Interested in other courses,Not Specified,Not Specified,No,Modified
Landing Page Submission,Organic Search,No,No,1,6.0,895,6.0,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Other Students,Other Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,1,4.0,1190,4.0,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Not Specified,Mumbai,No,Email Opened
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Link Clicked,Business Administration,Working Professional,Closed by Horizzon,Potential Lead,Not Specified,No,Email Link Clicked
API,Direct Traffic,No,No,0,5.0,1566,5.0,Converted to Lead,Not Specified,Unemployed,Graduation in progress,Not Specified,Not Specified,No,Modified
API,Google,No,No,1,5.0,727,5.0,Email Opened,Not Specified,Unemployed,Will revert after reading the email,Other Students,Thane & Outskirts,No,Email Opened
Landing Page Submission,Google,No,No,0,8.0,652,4.0,Unreachable,Hospitality & Tourism,Unemployed,Ringing,Not Specified,Mumbai,No,Modified
API,Organic Search,No,No,0,4.0,1248,1.33,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
API,Google,No,No,0,2.0,767,2.0,Email Opened,Not Specified,Unemployed,Already a student,Student of SomeSchool,Not Specified,No,Modified
API,Referral,No,No,0,9.5,275,3.33,Page Visited on Website,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Page Visited on Website
API,Organic Search,No,No,0,3.0,273,3.0,Converted to Lead,Not Specified,Unemployed,switched off,Not Specified,Not Specified,No,Modified
Lead Add Form,Referral,No,No,1,3.0,1111,2.0,Unknown,Marketing & Advertising,Working Professional,Closed by Horizzon,Potential Lead,Other Cities,No,Modified
Landing Page Submission,Google,No,No,0,8.0,277,4.0,Email Opened,Finance & Banking,Not Specified,Not Specified,Not Specified,Mumbai,No,Email Opened
API,Organic Search,No,No,1,3.0,1207,1.5,Olark Chat Conversation,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
API,Google,No,No,0,2.0,39,1.0,Converted to Lead,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,0,4.0,1638,4.0,Email Opened,Finance & Banking,Unemployed,Ringing,Not Specified,Mumbai,Yes,Email Opened
API,Referral,No,No,0,9.5,53,7.0,Olark Chat Conversation,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,1.0,127,1.0,Converted to Lead,Finance & Banking,Unemployed,Already a student,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Organic Search,Yes,No,0,5.0,100,5.0,Page Visited on Website,Supply Chain Management,Unemployed,switched off,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Google,Yes,No,0,4.0,323,4.0,Other,International Business,Not Specified,Not Specified,Not Specified,Mumbai,No,Other
API,Google,No,No,1,2.0,160,1.0,Olark Chat Conversation,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Opened,Marketing & Advertising,Other,Closed by Horizzon,Potential Lead,Not Specified,No,Modified
API,Google,No,No,0,1.0,263,1.0,Converted to Lead,Not Specified,Unemployed,Interested in other courses,Other Leads,Not Specified,No,Modified
API,Google,No,No,0,2.0,1218,2.0,Olark Chat Conversation,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
Lead Add Form,Referral,No,No,1,3.0,986,2.0,Unknown,Marketing & Advertising,Working Professional,Closed by Horizzon,Potential Lead,Not Specified,No,Modified
Lead Add Form,Other,No,No,1,3.0,889,2.0,Unknown,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,1,5.0,1091,5.0,Unreachable,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Other
Landing Page Submission,Direct Traffic,No,No,0,4.0,291,4.0,Olark Chat Conversation,Supply Chain Management,Not Specified,Not Specified,Not Specified,Other Cities,Yes,Modified
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Opened,Hospitality & Tourism,Unemployed,Closed by Horizzon,Potential Lead,Thane & Outskirts,No,Modified
API,Google,Yes,No,0,1.0,1759,1.0,Olark Chat Conversation,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Olark Chat Conversation
Landing Page Submission,Referral,No,No,0,7.0,41,3.5,Email Opened,Other,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Email Opened
Landing Page Submission,Google,No,No,0,5.0,386,5.0,Email Opened,Business Administration,Unemployed,Interested in other courses,Not Specified,Thane & Outskirts,No,Modified
API,Referral,No,No,0,6.0,216,2.0,Page Visited on Website,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Page Visited on Website
Landing Page Submission,Google,No,No,1,5.0,1603,5.0,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,0,7.0,106,3.5,Page Visited on Website,Not Specified,Not Specified,Not Specified,Not Specified,Other Cities,No,Modified
API,Google,No,No,0,2.0,73,2.0,Unreachable,Not Specified,Unemployed,switched off,Not Specified,Not Specified,No,Modified
API,Google,No,No,0,2.0,77,2.0,Converted to Lead,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,3.0,718,3.0,Unreachable,Hospitality & Tourism,Not Specified,Not Specified,Not Specified,Thane & Outskirts,Yes,Modified
Landing Page Submission,Google,No,No,0,5.0,432,1.67,Olark Chat Conversation,Marketing & Advertising,Not Specified,Not Specified,Not Specified,Mumbai,No,Olark Chat Conversation
Landing Page Submission,Google,No,No,0,5.0,232,2.5,Email Opened,Human Resource Management,Unemployed,Interested in other courses,Other Leads,Other Cities,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,702,2.0,Email Opened,Hospitality & Tourism,Unemployed,Not doing further education,Not Specified,Other Cities,Yes,Email Opened
Landing Page Submission,Organic Search,No,No,1,5.0,614,5.0,Unreachable,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,Yes,Other
Landing Page Submission,Direct Traffic,No,No,1,1.0,1808,1.0,Converted to Lead,IT Projects Management,Not Specified,Lost to EINS,Not Specified,Thane & Outskirts,Yes,Modified
Landing Page Submission,Direct Traffic,Yes,No,0,2.0,234,1.0,Email Bounced,Finance & Banking,Unemployed,invalid number,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,3.0,245,3.0,Unreachable,Finance & Banking,Unemployed,Ringing,Not Specified,Thane & Outskirts,Yes,Modified
Landing Page Submission,Organic Search,No,No,1,8.0,1268,4.0,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,Email Opened
Landing Page Submission,Google,No,No,0,2.0,56,2.0,Email Bounced,Not Specified,Unemployed,switched off,Not Specified,Mumbai,No,Modified
API,Referral,No,No,0,4.0,174,2.0,Email Link Clicked,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,4.0,1149,2.0,Email Opened,Not Specified,Unemployed,Ringing,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,333,2.0,Email Opened,E-Commerce,Not Specified,Not Specified,Not Specified,Other Cities,Yes,Email Opened
API,Organic Search,No,No,0,7.0,471,2.33,Email Opened,Not Specified,Unemployed,switched off,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,3.0,1010,3.0,Email Opened,Supply Chain Management,Unemployed,Will revert after reading the email,Not Specified,Other Metro Cities,Yes,Email Opened
API,Chat,No,No,1,9.5,1815,3.33,Other,Operations Management,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,Yes,Other
Landing Page Submission,Direct Traffic,No,No,0,2.0,47,2.0,Email Link Clicked,Business Administration,Unemployed,Ringing,Not Specified,Other Cities,Yes,Email Link Clicked
Landing Page Submission,Direct Traffic,No,No,1,3.0,1528,1.5,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Not Specified,Other Cities,Yes,Modified
Landing Page Submission,Google,No,No,1,6.0,919,6.0,Email Opened,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
API,Organic Search,No,No,0,9.5,194,5.0,Email Link Clicked,Marketing & Advertising,Unemployed,Interested in other courses,Not Specified,Mumbai,No,Modified
API,Organic Search,No,No,0,1.0,1173,1.0,Converted to Lead,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Modified
API,Google,No,No,0,2.0,351,2.0,Email Opened,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Referral,No,No,0,9.5,493,7.0,Email Link Clicked,Marketing & Advertising,Not Specified,Not Specified,Not Specified,Thane & Outskirts,Yes,Email Link Clicked
Landing Page Submission,Direct Traffic,No,No,0,3.0,381,1.5,Page Visited on Website,Operations Management,Unemployed,Ringing,Not Specified,Thane & Outskirts,Yes,Page Visited on Website
API,Referral,No,No,0,2.0,1944,2.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Google,No,No,0,5.0,65,5.0,Unreachable,Human Resource Management,Unemployed,Ringing,Not Specified,Thane & Outskirts,No,Modified
API,Organic Search,No,No,0,7.0,1334,7.0,Email Opened,Business Administration,Not Specified,Interested in other courses,Not Specified,Mumbai,Yes,Modified
API,Google,No,No,0,7.0,615,7.0,Form Submitted on Website,"Banking, Investment And Insurance",Not Specified,Interested in other courses,Not Specified,Thane & Outskirts,No,Modified
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Opened,Finance & Banking,Working Professional,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
API,Google,No,No,0,1.0,250,1.0,Email Bounced,Not Specified,Unemployed,invalid number,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,383,2.0,Email Link Clicked,Business Administration,Not Specified,Not Specified,Not Specified,Other Metro Cities,Yes,Email Link Clicked
Lead Add Form,Other,No,No,1,3.0,1240,2.0,Unknown,Not Specified,Unemployed,Closed by Horizzon,Potential Lead,Mumbai,No,Modified
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Opened,"Banking, Investment And Insurance",Working Professional,Will revert after reading the email,Potential Lead,Not Specified,No,Email Opened
Lead Add Form,Other,No,No,1,3.0,458,2.0,Unknown,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
Lead Add Form,Other,No,No,1,3.0,1060,2.0,Unknown,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
API,Chat,No,No,0,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
API,Referral,No,No,0,4.0,904,4.0,Olark Chat Conversation,Not Specified,Unemployed,Already a student,Not Specified,Not Specified,No,Modified
API,Google,No,No,0,1.0,164,1.0,Converted to Lead,Not Specified,Not Specified,Interested in other courses,Not Specified,Not Specified,No,Modified
API,Google,No,No,0,2.0,1793,2.0,Converted to Lead,Not Specified,Unemployed,Lost to EINS,Not Specified,Not Specified,No,Modified
API,Organic Search,No,No,0,5.0,1841,5.0,Olark Chat Conversation,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
API,Organic Search,No,No,1,8.0,877,2.67,Email Link Clicked,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,Potential Lead,Not Specified,No,Email Link Clicked
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Unreachable,Retail Management,Unemployed,Closed by Horizzon,Potential Lead,Mumbai,No,Modified
